Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,SQ_WAVES,SQ_INSTS_VALU,GRBM_GUI_ACTIVE
482,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,721,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,664.4375000000,0.0000000000,628,159120,25596
483,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1327,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98673.5625000000,93718.8750000000,98596,28716480,327460
484,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1332,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36164
485,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,727,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,649.2500000000,0.0000000000,628,177216,26472
486,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,727,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,667.3125000000,0.0000000000,628,159120,25024
487,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1338,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98683.6875000000,93711.3750000000,98596,28716480,326464
488,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1343,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36296
489,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,733,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,650.4375000000,0.0000000000,628,177216,25517
490,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,733,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,674.5625000000,0.0000000000,628,159120,25149
491,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1349,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98666.6875000000,93696.5000000000,98596,28716480,324292
492,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1354,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.7500000000,0.0000000000,4,1112,35301
493,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,739,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,659.8125000000,0.0000000000,628,177216,26496
494,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,739,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,679.3750000000,0.0000000000,628,159120,25424
495,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1360,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98679.5625000000,93721.1875000000,98596,28716480,326968
496,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1365,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36384
497,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,745,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.1875000000,0.0000000000,628,177216,25468
498,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,745,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,666.8750000000,0.0000000000,628,159120,27127
