Version,MemoryType,BlockFactor,Coarsening,Workload,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p29k1,29891.717,22236.429
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p30k1,31880.319,25529.857
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p31k1,36176.556,28406.705
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p32k1,39678.397,32266.644
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p33k1,39847.926,32005.140
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p34k1,45841.742,36611.296
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p35k1,51916.189,40474.670
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p36k1,53179.780,41675.739
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p37k1,58116.543,45616.745
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p38k1,58563.141,48022.622
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p39k1,66411.203,53630.067
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,p40k1,71319.408,59198.984
